layer,head,mean_importance,imp_shortcut,imp_nuanced
9,18,2.007629,2.458521,2.01898
9,14,2.007459,2.471813,2.021795
9,27,2.006566,2.481123,2.018893
9,23,1.995308,2.45279,2.000495
9,5,1.994106,2.47029,1.990905
9,28,1.991359,2.456624,2.013193
9,8,1.989532,2.444784,1.991927
9,15,1.981584,2.447006,1.992084
9,9,1.980723,2.446109,1.978649
10,2,1.958683,2.392473,1.95774
10,29,1.956065,2.367696,1.99207
10,24,1.941371,2.38851,1.967614
10,26,1.939845,2.381796,1.946348
10,1,1.939455,2.36459,1.956072
10,19,1.918106,2.335015,1.945027
10,10,1.915262,2.327558,1.940493
10,3,1.913764,2.321438,1.942023
10,25,1.913034,2.320065,1.930493
10,4,1.907978,2.314627,1.924885
10,17,1.907797,2.310321,1.930619
10,31,1.905413,2.333047,1.911335
10,32,1.897881,2.303853,1.900947
10,6,1.895966,2.298493,1.91507
10,7,1.89231,2.320143,1.916237
10,9,1.889168,2.30427,1.901053
10,30,1.88901,2.281083,1.900967
10,14,1.885585,2.285087,1.907526
10,18,1.884725,2.29656,1.907448
10,11,1.884274,2.313167,1.900465
11,16,1.881948,2.260437,1.906593
10,27,1.879042,2.294055,1.900426
10,22,1.878896,2.289988,1.88265
10,13,1.872303,2.28872,1.885853
10,20,1.870464,2.300611,1.891727
10,23,1.868468,2.264355,1.896095
10,8,1.865589,2.270332,1.882928
10,5,1.864511,2.286287,1.884646
10,28,1.861284,2.26678,1.875617
10,15,1.86094,2.271147,1.881024
10,21,1.851545,2.252316,1.876183
11,12,1.833265,2.208851,1.863027
11,26,1.814321,2.18666,1.840854
11,22,1.811436,2.180464,1.829605
11,17,1.799682,2.167773,1.817846
11,29,1.799267,2.17403,1.828867
11,24,1.792723,2.184934,1.819935
11,25,1.78626,2.16932,1.794353
11,1,1.785593,2.146167,1.802829
11,32,1.782364,2.137795,1.806324
11,19,1.782353,2.141241,1.817331
11,3,1.782141,2.139512,1.810341
11,31,1.780893,2.156523,1.797893
11,30,1.779814,2.13454,1.803924
11,6,1.776496,2.140011,1.805206
11,4,1.774118,2.137362,1.798901
11,10,1.772674,2.138246,1.795009
11,2,1.77036,2.146156,1.786035
11,27,1.769141,2.13812,1.791971
11,8,1.767485,2.126574,1.786065
11,11,1.762727,2.147534,1.777018
11,9,1.762055,2.12151,1.776618
11,14,1.758092,2.110396,1.784486
11,13,1.757707,2.122642,1.780861
11,7,1.756903,2.139141,1.787468
11,18,1.752507,2.112663,1.780789
11,15,1.751532,2.105225,1.774372
11,5,1.7421,2.107979,1.759622
11,23,1.74141,2.07836,1.773161
11,20,1.737213,2.10863,1.761667
11,21,1.7327,2.08076,1.76921
12,16,1.730095,2.07726,1.74076
11,28,1.727157,2.078722,1.747076
12,12,1.686493,2.030121,1.707658
12,1,1.653396,1.965024,1.658057
12,24,1.650743,2.003943,1.658948
12,25,1.646207,1.993957,1.656364
12,4,1.640415,1.952692,1.661658
12,8,1.629275,1.961328,1.634401
12,29,1.628195,1.960531,1.638334
12,26,1.628005,1.972537,1.630598
12,31,1.62627,1.956465,1.630331
12,10,1.623927,1.964716,1.637349
12,7,1.620427,1.967421,1.641962
12,19,1.616832,1.94448,1.636505
12,3,1.615737,1.938341,1.61161
12,17,1.61169,1.957787,1.612019
12,6,1.610479,1.940784,1.607961
12,27,1.606416,1.944344,1.628428
12,30,1.605682,1.920619,1.62327
12,32,1.603082,1.934061,1.608817
12,15,1.600331,1.926753,1.600933
13,16,1.599274,1.926893,1.590971
12,14,1.594734,1.917942,1.608252
12,13,1.593089,1.923846,1.604234
12,11,1.592797,1.941882,1.591113
12,21,1.592621,1.923639,1.596175
12,5,1.591703,1.922785,1.59576
12,2,1.591574,1.932936,1.594153
12,22,1.585776,1.922971,1.581038
12,20,1.584735,1.91968,1.59486
12,9,1.582613,1.905113,1.584044
12,28,1.573076,1.90426,1.578168
12,18,1.563229,1.889861,1.57634
12,23,1.560944,1.872615,1.567097
13,31,1.553325,1.872207,1.549917
13,12,1.553018,1.859789,1.560144
13,24,1.550796,1.872146,1.551649
13,3,1.533015,1.831745,1.52878
13,4,1.531207,1.83425,1.532094
13,29,1.516756,1.815382,1.527446
13,6,1.50962,1.823849,1.495202
13,1,1.506702,1.792122,1.502698
13,26,1.505219,1.828856,1.499719
13,10,1.501809,1.826485,1.496665
13,30,1.500825,1.787939,1.500994
13,25,1.499735,1.811788,1.502948
13,7,1.4901,1.811964,1.497015
13,13,1.489772,1.810512,1.495603
13,22,1.489578,1.79933,1.478555
13,11,1.489575,1.807625,1.481753
13,19,1.48913,1.793809,1.492345
13,27,1.486268,1.809639,1.483359
14,16,1.483991,1.796327,1.462013
13,32,1.482442,1.794625,1.482658
13,2,1.480115,1.794825,1.466212
13,5,1.479078,1.777238,1.476195
13,15,1.474974,1.769644,1.478365
13,17,1.47455,1.783633,1.467654
13,9,1.473585,1.786431,1.458225
13,14,1.473042,1.778874,1.464593
13,21,1.46813,1.782668,1.45759
13,20,1.467944,1.788303,1.457401
13,23,1.463214,1.749226,1.4742
13,18,1.459606,1.756178,1.468124
13,28,1.458917,1.762946,1.458917
13,8,1.450175,1.756278,1.437938
14,12,1.442586,1.731544,1.443824
14,24,1.422078,1.719123,1.417194
14,3,1.411163,1.67337,1.400591
14,4,1.408726,1.690594,1.406844
14,29,1.40167,1.685235,1.400276
14,31,1.393458,1.686168,1.382315
14,10,1.391335,1.691504,1.381693
14,26,1.388668,1.689637,1.3653
14,6,1.384616,1.676141,1.366335
14,11,1.380006,1.668137,1.362627
14,1,1.379701,1.656292,1.377773
14,5,1.378724,1.660983,1.367967
14,2,1.377499,1.65489,1.373133
14,30,1.376589,1.644944,1.369841
14,27,1.371873,1.664032,1.368738
14,28,1.370511,1.638268,1.376997
14,32,1.370102,1.655236,1.35746
14,7,1.368172,1.648808,1.375495
14,22,1.367583,1.653926,1.361152
14,20,1.367035,1.65528,1.365911
14,25,1.365061,1.651454,1.363085
14,19,1.365057,1.63889,1.350765
14,13,1.362024,1.652114,1.372032
14,17,1.355428,1.649156,1.33812
14,9,1.353839,1.624212,1.354246
14,18,1.341969,1.616737,1.344257
14,14,1.338558,1.61861,1.328604
14,15,1.334816,1.604864,1.33883
14,21,1.325299,1.61363,1.300046
14,23,1.32182,1.589049,1.32023
15,16,1.319909,1.602654,1.288152
14,8,1.309253,1.592219,1.28971
15,12,1.297046,1.553371,1.30019
15,10,1.267065,1.529417,1.254147
15,24,1.265541,1.518979,1.25905
15,3,1.253264,1.491914,1.237691
15,4,1.249733,1.499961,1.245882
15,29,1.247189,1.487174,1.250237
15,7,1.240744,1.478127,1.243839
15,1,1.23844,1.478874,1.22874
15,11,1.233997,1.491308,1.221091
15,19,1.231579,1.471706,1.206134
15,30,1.226567,1.47563,1.211934
15,5,1.226043,1.473115,1.210699
15,26,1.225955,1.489961,1.20504
15,13,1.225092,1.477762,1.230252
15,6,1.222571,1.489365,1.193099
15,18,1.220587,1.468667,1.214046
15,2,1.220163,1.47933,1.205485
15,25,1.21617,1.458388,1.214053
15,31,1.216094,1.467383,1.210326
15,22,1.216026,1.46981,1.207856
15,17,1.214139,1.480483,1.190236
15,32,1.211473,1.47484,1.201023
15,20,1.211358,1.450568,1.21455
15,27,1.205275,1.455309,1.195946
15,28,1.202882,1.446923,1.196708
15,14,1.200194,1.449169,1.182092
15,21,1.195415,1.450814,1.169897
15,8,1.194159,1.450292,1.170553
15,15,1.193658,1.432166,1.190238
15,9,1.187179,1.424709,1.17902
16,16,1.177548,1.42804,1.135869
15,23,1.165235,1.40047,1.158567
16,12,1.160807,1.400566,1.141396
