u_id,true_country,facet,is_shortcut,is_nuanced,commitment_layer,committed,prob_at_commit,prob_at_layer_8,prob_at_layer_30,prob_final,rank_final
cc3e4687-4fba-4fe1-aeb3-489db832865c,Germany,food,False,True,17,True,0.08821547031402588,0.2766493856906891,0.6375974416732788,0.5886254906654358,0
31e9a0fd-c1ab-4668-a100-e869e7c36d2e,Germany,rituals,False,True,17,True,0.07104725390672684,0.2808534801006317,0.4452876150608063,0.41895052790641785,0
535d82e7-8b5f-4ed4-b186-e458ced4fd32,Germany,rituals,False,False,18,True,0.12683704495429993,0.3159700036048889,0.9907221794128418,0.9861591458320618,0
606aeda1-a002-4666-9cc2-c54b4af0a436,Germany,rituals,False,True,18,True,0.11541522294282913,0.31700971722602844,0.6595172882080078,0.5461740493774414,0
b44fddf6-9e94-4b2d-92d6-b64b7047f781,Germany,rituals,False,False,18,True,0.12964309751987457,0.28943607211112976,0.9518500566482544,0.9785293340682983,0
02bd886c-af46-4b28-a3b3-939f0185db11,Germany,rituals,False,True,18,True,0.12119890004396439,0.2946169078350067,0.327161967754364,0.13467471301555634,2
7e4d2b1e-fa75-443c-92e9-b792125002c6,Germany,drink,False,False,17,True,0.08624731004238129,0.3141404688358307,0.9965047836303711,0.9979890584945679,0
8c973562-db40-4319-9dd5-51d83c7f910e,Germany,drink,False,True,17,True,0.08962865173816681,0.3184121549129486,0.7570037245750427,0.6557751297950745,0
3f0011f7-0cf3-4ed5-a905-78d71079c3da,Germany,drink,False,False,18,True,0.15056395530700684,0.33328473567962646,0.004725517705082893,0.0029583044815808535,2
99a8796e-1be0-40dc-9e07-56df08f021e0,Germany,drink,False,False,17,True,0.07114537805318832,0.3283369839191437,0.9762424230575562,0.9723989963531494,0
098b83b9-da89-40a9-a452-bc72698c3740,Germany,drink,False,False,17,True,0.09768117219209671,0.3283655643463135,0.9956536293029785,0.9947589039802551,0
ffcd1ddf-ff5a-4f44-90d8-f019b0e5efd1,Germany,clothing,False,False,18,True,0.13065165281295776,0.3155272603034973,0.992088794708252,0.9969351291656494,0
