u_id,model,rho_mean_vs_black,pval_mean_vs_black,rho_mean_vs_noise,pval_mean_vs_noise,rho_black_vs_noise,pval_black_vs_noise,mean_rho
92e9ea16-f3a3-42fd-9b4a-304d1e8bb39c,clip,0.217,0.1341,0.6356,0.0,0.2465,0.0877,0.3664
8d88fa68-f254-4577-9922-87ba6696d54f,clip,0.8182,0.0,0.1447,0.3212,-0.099,0.4986,0.288
97b3a522-968d-4db3-9126-1898cb9dca5f,clip,0.7399,0.0,0.1827,0.2091,0.0768,0.5998,0.3331
61cd5c3a-9325-4cdf-9ff2-0e8625c8e8bc,clip,0.6331,0.0,0.3655,0.0098,0.2838,0.0482,0.4274
2faa706e-08ea-4f4e-9f88-6000d10bb322,clip,0.4589,0.0009,0.4893,0.0004,0.3624,0.0105,0.4369
3429c249-9b78-4612-8b82-8ce2405193ce,clip,0.7359,0.0,0.4574,0.001,0.428,0.0022,0.5404
7b73f9f5-70a9-4324-a79d-99302078220b,clip,0.8042,0.0,0.0333,0.8205,0.1421,0.33,0.3265
525abdb3-d337-4b12-b2ee-01a6e3e1f780,clip,0.8822,0.0,0.7503,0.0,0.6445,0.0,0.759
6f8351dc-db39-4a4c-9370-b035dc80d66f,clip,0.8071,0.0,0.7873,0.0,0.7995,0.0,0.798
6b0be593-f193-48ee-bdd8-8f8cc3da741a,clip,0.6427,0.0,0.7456,0.0,0.6301,0.0,0.6728
f1f5ca23-1476-4be2-a203-079c456d58b7,clip,0.3027,0.0345,0.2466,0.0876,0.6165,0.0,0.3886
f12dd800-7905-428c-9690-28747601a795,clip,0.6427,0.0,0.7456,0.0,0.6301,0.0,0.6728
1b080c55-9d6e-489f-95d6-8f03f713099b,clip,-0.0666,0.6494,-0.3647,0.01,0.6413,0.0,0.07
ec6992fc-90b0-45fa-8cb0-0979086911d7,clip,0.6754,0.0,0.5636,0.0,0.5644,0.0,0.6011
4c79241e-3dc9-44d8-bed7-421701a25103,clip,0.8247,0.0,0.698,0.0,0.7172,0.0,0.7466
e2ee5b98-bfa9-4103-aa2c-e0397e9bd668,clip,0.8607,0.0,0.5574,0.0,0.5976,0.0,0.6719
ec1ebd50-a42c-47c5-a77d-00546adf6224,clip,0.6324,0.0,0.559,0.0,0.7504,0.0,0.6473
751a2a0e-916c-48e1-a267-c7c59106d6b0,clip,0.9142,0.0,0.7878,0.0,0.8445,0.0,0.8488
aec29b23-29fa-4d4d-b20c-73e160c63943,clip,0.4502,0.0012,0.5712,0.0,0.1788,0.2191,0.4001
